"","PAR","METHOD","NSIZE","COMMUNALITY","SPECIFICATION","MODERROR","est"
"118","a","SS","200","Low","Simple","e=0.09 (XL)",0.521846748038434
"121","a","BS","300","Low","Correct","e=0.09 (XL)",0.202928292386397
"124","a","RS","300","Low","Correct","e=0.09 (XL)",0.393628871112369
"127","a","ILV","300","Low","Correct","e=0.09 (XL)",0.298221614642234
"130","a","SEM","300","Low","Correct","e=0.09 (XL)",0.298400476102054
"133","a","SS","300","Low","Correct","e=0.09 (XL)",0.700331364107111
"136","a","BS","300","Low","Simple","e=0.09 (XL)",0.620826883393946
"139","a","RS","300","Low","Simple","e=0.09 (XL)",0.84281840855924
"142","a","ILV","300","Low","Simple","e=0.09 (XL)",0.74896538503559
"145","a","SEM","300","Low","Simple","e=0.09 (XL)",0.753176410096432
"148","a","SS","300","Low","Simple","e=0.09 (XL)",0.521383909900804
"151","a","BS","400","Low","Correct","e=0.09 (XL)",0.204344068383311
"154","a","RS","400","Low","Correct","e=0.09 (XL)",0.397686940283303
"157","a","ILV","400","Low","Correct","e=0.09 (XL)",0.300638904812344
"160","a","SEM","400","Low","Correct","e=0.09 (XL)",0.301066455954353
"163","a","SS","400","Low","Correct","e=0.09 (XL)",0.701808471659584
"166","a","BS","400","Low","Simple","e=0.09 (XL)",0.621363734650774
"169","a","RS","400","Low","Simple","e=0.09 (XL)",0.8445726759041
"172","a","ILV","400","Low","Simple","e=0.09 (XL)",0.751149691074178
"175","a","SEM","400","Low","Simple","e=0.09 (XL)",0.754152537939017
"178","a","SS","400","Low","Simple","e=0.09 (XL)",0.522540191318107
"181","a","BS","30","Low","Correct","e=0.03 (XL)",0.241603964276506
"184","a","RS","30","Low","Correct","e=0.03 (XL)",0.357465296796938
"187","a","ILV","30","Low","Correct","e=0.03 (XL)",0.292995500383792
"190","a","SEM","30","Low","Correct","e=0.03 (XL)",0.3054807883813
"193","a","SS","30","Low","Correct","e=0.03 (XL)",0.643761590770718
"196","a","BS","30","Low","Simple","e=0.03 (XL)",0.342751071323594
"199","a","RS","30","Low","Simple","e=0.03 (XL)",0.48296322799947
"202","a","ILV","30","Low","Simple","e=0.03 (XL)",0.380392653732422
"205","a","SEM","30","Low","Simple","e=0.03 (XL)",0.420592440317093
"208","a","SS","30","Low","Simple","e=0.03 (XL)",0.333913528667039
"211","a","BS","60","Low","Correct","e=0.03 (XL)",0.201023945200182
"214","a","RS","60","Low","Correct","e=0.03 (XL)",0.363907821188546
"217","a","ILV","60","Low","Correct","e=0.03 (XL)",0.280728186709867
"220","a","SEM","60","Low","Correct","e=0.03 (XL)",0.284973737803297
"223","a","SS","60","Low","Correct","e=0.03 (XL)",0.61591502685406
"226","a","BS","60","Low","Simple","e=0.03 (XL)",0.316259434517917
"229","a","RS","60","Low","Simple","e=0.03 (XL)",0.501000513522013
"232","a","ILV","60","Low","Simple","e=0.03 (XL)",0.390151093009146
"235","a","SEM","60","Low","Simple","e=0.03 (XL)",0.410457800851951
"238","a","SS","60","Low","Simple","e=0.03 (XL)",0.301156987049239
"241","a","BS","100","Low","Correct","e=0.03 (XL)",0.198760321212561
"244","a","RS","100","Low","Correct","e=0.03 (XL)",0.388686923130052
"247","a","ILV","100","Low","Correct","e=0.03 (XL)",0.290168132510649
"250","a","SEM","100","Low","Correct","e=0.03 (XL)",0.295219114603118
"253","a","SS","100","Low","Correct","e=0.03 (XL)",0.615928146099732
"256","a","BS","100","Low","Simple","e=0.03 (XL)",0.314885083851992
"259","a","RS","100","Low","Simple","e=0.03 (XL)",0.51633463681773
"262","a","ILV","100","Low","Simple","e=0.03 (XL)",0.403939132211962
"265","a","SEM","100","Low","Simple","e=0.03 (XL)",0.416707765061528
"268","a","SS","100","Low","Simple","e=0.03 (XL)",0.301108057340818
"271","a","BS","200","Low","Correct","e=0.03 (XL)",0.192334297124131
"274","a","RS","200","Low","Correct","e=0.03 (XL)",0.394353447041745
"277","a","ILV","200","Low","Correct","e=0.03 (XL)",0.290425115833463
"280","a","SEM","200","Low","Correct","e=0.03 (XL)",0.293561087333476
"283","a","SS","200","Low","Correct","e=0.03 (XL)",0.614717597665341
"286","a","BS","200","Low","Simple","e=0.03 (XL)",0.311672175519338
"289","a","RS","200","Low","Simple","e=0.03 (XL)",0.521565211044145
"292","a","ILV","200","Low","Simple","e=0.03 (XL)",0.410027000390896
"295","a","SEM","200","Low","Simple","e=0.03 (XL)",0.41603305293943
"298","a","SS","200","Low","Simple","e=0.03 (XL)",0.299386844364027
"301","a","BS","300","Low","Correct","e=0.03 (XL)",0.192533561647332
"304","a","RS","300","Low","Correct","e=0.03 (XL)",0.399948648473521
"307","a","ILV","300","Low","Correct","e=0.03 (XL)",0.293997653364805
"310","a","SEM","300","Low","Correct","e=0.03 (XL)",0.296201001220933
"313","a","SS","300","Low","Correct","e=0.03 (XL)",0.616787024023727
"316","a","BS","300","Low","Simple","e=0.03 (XL)",0.313279360779137
"319","a","RS","300","Low","Simple","e=0.03 (XL)",0.527053596525491
"322","a","ILV","300","Low","Simple","e=0.03 (XL)",0.414714611080546
"325","a","SEM","300","Low","Simple","e=0.03 (XL)",0.419379804613796
"328","a","SS","300","Low","Simple","e=0.03 (XL)",0.301645645871172
"331","a","BS","400","Low","Correct","e=0.03 (XL)",0.194156639294277
"334","a","RS","400","Low","Correct","e=0.03 (XL)",0.405426297615381
"337","a","ILV","400","Low","Correct","e=0.03 (XL)",0.297337503545337
"340","a","SEM","400","Low","Correct","e=0.03 (XL)",0.299546551554672
"343","a","SS","400","Low","Correct","e=0.03 (XL)",0.619310165051403
"346","a","BS","400","Low","Simple","e=0.03 (XL)",0.313833744847355
"349","a","RS","400","Low","Simple","e=0.03 (XL)",0.530749249075629
"352","a","ILV","400","Low","Simple","e=0.03 (XL)",0.418120356844066
"355","a","SEM","400","Low","Simple","e=0.03 (XL)",0.421308939440147
"358","a","SS","400","Low","Simple","e=0.03 (XL)",0.304643764176411
"361","a","BS","30","Low","Correct","e=0",0.242102332456458
"364","a","RS","30","Low","Correct","e=0",0.350768341499199
"367","a","ILV","30","Low","Correct","e=0",0.278957703476062
"370","a","SEM","30","Low","Correct","e=0",0.304664209165133
"373","a","SS","30","Low","Correct","e=0",0.242528522852966
"376","a","BS","30","Low","Simple","e=0",0.242102332456458
"379","a","RS","30","Low","Simple","e=0",0.350768341499199
"382","a","ILV","30","Low","Simple","e=0",0.278957703476062
"385","a","SEM","30","Low","Simple","e=0",0.304664209165133
"388","a","SS","30","Low","Simple","e=0",0.242528522852966
"391","a","BS","60","Low","Correct","e=0",0.222381173597547
"394","a","RS","60","Low","Correct","e=0",0.358428574076984
"397","a","ILV","60","Low","Correct","e=0",0.277549169658263
"400","a","SEM","60","Low","Correct","e=0",0.29552121238169
"403","a","SS","60","Low","Correct","e=0",0.216069744562898
"406","a","BS","60","Low","Simple","e=0",0.222381173597547
"409","a","RS","60","Low","Simple","e=0",0.358428574076984
"412","a","ILV","60","Low","Simple","e=0",0.277549169658263
"415","a","SEM","60","Low","Simple","e=0",0.29552121238169
"418","a","SS","60","Low","Simple","e=0",0.216069744562898
"421","a","BS","100","Low","Correct","e=0",0.223153221882186
"424","a","RS","100","Low","Correct","e=0",0.372482008962717
"427","a","ILV","100","Low","Correct","e=0",0.287812147370068
"430","a","SEM","100","Low","Correct","e=0",0.299354943575921
"433","a","SS","100","Low","Correct","e=0",0.215799863918301
"436","a","BS","100","Low","Simple","e=0",0.223153221882186
"439","a","RS","100","Low","Simple","e=0",0.372482008962717
"442","a","ILV","100","Low","Simple","e=0",0.287812147370068
"445","a","SEM","100","Low","Simple","e=0",0.299354943575921
"448","a","SS","100","Low","Simple","e=0",0.215799863918301
"451","a","BS","200","Low","Correct","e=0",0.22031568425847
"454","a","RS","200","Low","Correct","e=0",0.375848332077524
"457","a","ILV","200","Low","Correct","e=0",0.293338602539582
"460","a","SEM","200","Low","Correct","e=0",0.298845690619707
"463","a","SS","200","Low","Correct","e=0",0.21386930140409
"466","a","BS","200","Low","Simple","e=0",0.22031568425847
"469","a","RS","200","Low","Simple","e=0",0.375848332077524
"472","a","ILV","200","Low","Simple","e=0",0.293338602539582
"475","a","SEM","200","Low","Simple","e=0",0.298845690619707
"478","a","SS","200","Low","Simple","e=0",0.21386930140409
"481","a","BS","300","Low","Correct","e=0",0.219889196574592
"484","a","RS","300","Low","Correct","e=0",0.378014048663697
"487","a","ILV","300","Low","Correct","e=0",0.295988605437626
"490","a","SEM","300","Low","Correct","e=0",0.299470459109777
"493","a","SS","300","Low","Correct","e=0",0.215129192867059
"496","a","BS","300","Low","Simple","e=0",0.219889196574592
"499","a","RS","300","Low","Simple","e=0",0.378014048663697
"502","a","ILV","300","Low","Simple","e=0",0.295988605437626
"505","a","SEM","300","Low","Simple","e=0",0.299470459109777
"508","a","SS","300","Low","Simple","e=0",0.215129192867059
"511","a","BS","400","Low","Correct","e=0",0.219371182494504
"514","a","RS","400","Low","Correct","e=0",0.378233657955475
"517","a","ILV","400","Low","Correct","e=0",0.296846806289143
"520","a","SEM","400","Low","Correct","e=0",0.299251358567303
"523","a","SS","400","Low","Correct","e=0",0.214091297741125
"526","a","BS","400","Low","Simple","e=0",0.219371182494504
"529","a","RS","400","Low","Simple","e=0",0.378233657955475
"532","a","ILV","400","Low","Simple","e=0",0.296846806289143
"535","a","SEM","400","Low","Simple","e=0",0.299251358567303
"538","a","SS","400","Low","Simple","e=0",0.214091297741125
"541","a","BS","30","Low","Correct","e=0.03 (RC)",0.270272703997088
"544","a","RS","30","Low","Correct","e=0.03 (RC)",0.370452184893792
"547","a","ILV","30","Low","Correct","e=0.03 (RC)",0.285851628295002
"550","a","SEM","30","Low","Correct","e=0.03 (RC)",0.332676964050049
"553","a","SS","30","Low","Correct","e=0.03 (RC)",0.260864444220444
"556","a","BS","30","Low","Simple","e=0.03 (RC)",0.254978727562967
"559","a","RS","30","Low","Simple","e=0.03 (RC)",0.359699867972316
"562","a","ILV","30","Low","Simple","e=0.03 (RC)",0.292012706329212
"565","a","SEM","30","Low","Simple","e=0.03 (RC)",0.31751931287884
"568","a","SS","30","Low","Simple","e=0.03 (RC)",0.260864444220444
"571","a","BS","60","Low","Correct","e=0.03 (RC)",0.229383972609494
"574","a","RS","60","Low","Correct","e=0.03 (RC)",0.35831473084454
"577","a","ILV","60","Low","Correct","e=0.03 (RC)",0.278820829701968
"580","a","SEM","60","Low","Correct","e=0.03 (RC)",0.298327647306253
"583","a","SS","60","Low","Correct","e=0.03 (RC)",0.215199718524221
"586","a","BS","60","Low","Simple","e=0.03 (RC)",0.219301289808199
"589","a","RS","60","Low","Simple","e=0.03 (RC)",0.336424974408831
"592","a","ILV","60","Low","Simple","e=0.03 (RC)",0.269706138305531
"595","a","SEM","60","Low","Simple","e=0.03 (RC)",0.28086518236131
"598","a","SS","60","Low","Simple","e=0.03 (RC)",0.215199718524221
"601","a","BS","100","Low","Correct","e=0.03 (RC)",0.2204311775735
"604","a","RS","100","Low","Correct","e=0.03 (RC)",0.371904865874683
"607","a","ILV","100","Low","Correct","e=0.03 (RC)",0.282913823827606
"610","a","SEM","100","Low","Correct","e=0.03 (RC)",0.298153334424106
"613","a","SS","100","Low","Correct","e=0.03 (RC)",0.207799078545217
"616","a","BS","100","Low","Simple","e=0.03 (RC)",0.21278204104207
"619","a","RS","100","Low","Simple","e=0.03 (RC)",0.341261349013231
"622","a","ILV","100","Low","Simple","e=0.03 (RC)",0.269118767388113
"625","a","SEM","100","Low","Simple","e=0.03 (RC)",0.27801626531281
"628","a","SS","100","Low","Simple","e=0.03 (RC)",0.207799078545217
"631","a","BS","200","Low","Correct","e=0.03 (RC)",0.215093152435467
"634","a","RS","200","Low","Correct","e=0.03 (RC)",0.378959972873668
"637","a","ILV","200","Low","Correct","e=0.03 (RC)",0.289567363846368
"640","a","SEM","200","Low","Correct","e=0.03 (RC)",0.298046733661523
"643","a","SS","200","Low","Correct","e=0.03 (RC)",0.208818979637646
"646","a","BS","200","Low","Simple","e=0.03 (RC)",0.211180022335767
"649","a","RS","200","Low","Simple","e=0.03 (RC)",0.345354542624571
"652","a","ILV","200","Low","Simple","e=0.03 (RC)",0.274400707726627
"655","a","SEM","200","Low","Simple","e=0.03 (RC)",0.27866038738258
"658","a","SS","200","Low","Simple","e=0.03 (RC)",0.208818979637646
"661","a","BS","300","Low","Correct","e=0.03 (RC)",0.214388167021929
"664","a","RS","300","Low","Correct","e=0.03 (RC)",0.384815955775442
"667","a","ILV","300","Low","Correct","e=0.03 (RC)",0.294947709977969
"670","a","SEM","300","Low","Correct","e=0.03 (RC)",0.300310483175631
"673","a","SS","300","Low","Correct","e=0.03 (RC)",0.208435302401735
"676","a","BS","300","Low","Simple","e=0.03 (RC)",0.211319548349568
"679","a","RS","300","Low","Simple","e=0.03 (RC)",0.348431384758437
"682","a","ILV","300","Low","Simple","e=0.03 (RC)",0.277256383959862
"685","a","SEM","300","Low","Simple","e=0.03 (RC)",0.280122210000297
"688","a","SS","300","Low","Simple","e=0.03 (RC)",0.208435302401735
"691","a","BS","400","Low","Correct","e=0.03 (RC)",0.210329656038887
"694","a","RS","400","Low","Correct","e=0.03 (RC)",0.379390021259995
"697","a","ILV","400","Low","Correct","e=0.03 (RC)",0.291858812812402
"700","a","SEM","400","Low","Correct","e=0.03 (RC)",0.295336665315814
"703","a","SS","400","Low","Correct","e=0.03 (RC)",0.205224126152611
"706","a","BS","400","Low","Simple","e=0.03 (RC)",0.208077148244259
"709","a","RS","400","Low","Simple","e=0.03 (RC)",0.343370753176334
"712","a","ILV","400","Low","Simple","e=0.03 (RC)",0.273711307477541
"715","a","SEM","400","Low","Simple","e=0.03 (RC)",0.275865890176889
"718","a","SS","400","Low","Simple","e=0.03 (RC)",0.205224126152611
"721","a","BS","30","Low","Correct","e=0.09 (RC)",0.273639374439707
"724","a","RS","30","Low","Correct","e=0.09 (RC)",0.398326315501103
"727","a","ILV","30","Low","Correct","e=0.09 (RC)",0.280207443622996
"730","a","SEM","30","Low","Correct","e=0.09 (RC)",0.342385886905786
"733","a","SS","30","Low","Correct","e=0.09 (RC)",0.270396113837233
"736","a","BS","30","Low","Simple","e=0.09 (RC)",0.252343847895302
"739","a","RS","30","Low","Simple","e=0.09 (RC)",0.330656627597807
"742","a","ILV","30","Low","Simple","e=0.09 (RC)",0.279249550707749
"745","a","SEM","30","Low","Simple","e=0.09 (RC)",0.295610229385029
"748","a","SS","30","Low","Simple","e=0.09 (RC)",0.270396113837233
"751","a","BS","60","Low","Correct","e=0.09 (RC)",0.229576338391344
"754","a","RS","60","Low","Correct","e=0.09 (RC)",0.378880605143314
"757","a","ILV","60","Low","Correct","e=0.09 (RC)",0.27872028984566
"760","a","SEM","60","Low","Correct","e=0.09 (RC)",0.307628809410784
"763","a","SS","60","Low","Correct","e=0.09 (RC)",0.21540272096669
"766","a","BS","60","Low","Simple","e=0.09 (RC)",0.20177965244204
"769","a","RS","60","Low","Simple","e=0.09 (RC)",0.279383875325232
"772","a","ILV","60","Low","Simple","e=0.09 (RC)",0.237911967797281
"775","a","SEM","60","Low","Simple","e=0.09 (RC)",0.241478733038871
"778","a","SS","60","Low","Simple","e=0.09 (RC)",0.21540272096669
"781","a","BS","100","Low","Correct","e=0.09 (RC)",0.209713474825556
"784","a","RS","100","Low","Correct","e=0.09 (RC)",0.37400248037834
"787","a","ILV","100","Low","Correct","e=0.09 (RC)",0.276475617187912
"790","a","SEM","100","Low","Correct","e=0.09 (RC)",0.294317722079496
"793","a","SS","100","Low","Correct","e=0.09 (RC)",0.19635026324505
"796","a","BS","100","Low","Simple","e=0.09 (RC)",0.18880435830707
"799","a","RS","100","Low","Simple","e=0.09 (RC)",0.269530513727704
"802","a","ILV","100","Low","Simple","e=0.09 (RC)",0.225632164472461
"805","a","SEM","100","Low","Simple","e=0.09 (RC)",0.229642589577546
"808","a","SS","100","Low","Simple","e=0.09 (RC)",0.19635026324505
"811","a","BS","200","Low","Correct","e=0.09 (RC)",0.203751930150587
"814","a","RS","200","Low","Correct","e=0.09 (RC)",0.38525036542032
"817","a","ILV","200","Low","Correct","e=0.09 (RC)",0.285958283475799
"820","a","SEM","200","Low","Correct","e=0.09 (RC)",0.295748452261506
"823","a","SS","200","Low","Correct","e=0.09 (RC)",0.196598086027972
"826","a","BS","200","Low","Simple","e=0.09 (RC)",0.189827680100575
"829","a","RS","200","Low","Simple","e=0.09 (RC)",0.278428693209242
"832","a","ILV","200","Low","Simple","e=0.09 (RC)",0.232194892634242
"835","a","SEM","200","Low","Simple","e=0.09 (RC)",0.234224459790998
"838","a","SS","200","Low","Simple","e=0.09 (RC)",0.196598086027972
"841","a","BS","300","Low","Correct","e=0.09 (RC)",0.204967784832019
"844","a","RS","300","Low","Correct","e=0.09 (RC)",0.394454005948157
"847","a","ILV","300","Low","Correct","e=0.09 (RC)",0.293537390516449
"850","a","SEM","300","Low","Correct","e=0.09 (RC)",0.300536286000708
"853","a","SS","300","Low","Correct","e=0.09 (RC)",0.199625880252751
"856","a","BS","300","Low","Simple","e=0.09 (RC)",0.192262096200666
"859","a","RS","300","Low","Simple","e=0.09 (RC)",0.285543928839386
"862","a","ILV","300","Low","Simple","e=0.09 (RC)",0.237566909141288
"865","a","SEM","300","Low","Simple","e=0.09 (RC)",0.239034602554557
"868","a","SS","300","Low","Simple","e=0.09 (RC)",0.199625880252751
"871","a","BS","400","Low","Correct","e=0.09 (RC)",0.204052074471025
"874","a","RS","400","Low","Correct","e=0.09 (RC)",0.395895519838221
"877","a","ILV","400","Low","Correct","e=0.09 (RC)",0.295842370280989
"880","a","SEM","400","Low","Correct","e=0.09 (RC)",0.300511410544316
"883","a","SS","400","Low","Correct","e=0.09 (RC)",0.199422541625142
"886","a","BS","400","Low","Simple","e=0.09 (RC)",0.193516744806229
"889","a","RS","400","Low","Simple","e=0.09 (RC)",0.288926404917137
"892","a","ILV","400","Low","Simple","e=0.09 (RC)",0.240081105500762
"895","a","SEM","400","Low","Simple","e=0.09 (RC)",0.241346319167571
"898","a","SS","400","Low","Simple","e=0.09 (RC)",0.199422541625142
"901","a","BS","30","Wide","Correct","e=0.09 (XL)",0.257885443569669
"904","a","RS","30","Wide","Correct","e=0.09 (XL)",0.322369045353528
"907","a","ILV","30","Wide","Correct","e=0.09 (XL)",0.300866166058954
"910","a","SEM","30","Wide","Correct","e=0.09 (XL)",0.294145040989955
"913","a","SS","30","Wide","Correct","e=0.09 (XL)",0.688922719299514
"916","a","BS","30","Wide","Simple","e=0.09 (XL)",0.424638997982785
"919","a","RS","30","Wide","Simple","e=0.09 (XL)",0.500627216950135
"922","a","ILV","30","Wide","Simple","e=0.09 (XL)",0.467750380852491
"925","a","SEM","30","Wide","Simple","e=0.09 (XL)",0.468924957096056
"928","a","SS","30","Wide","Simple","e=0.09 (XL)",0.418568071230102
"931","a","BS","60","Wide","Correct","e=0.09 (XL)",0.256291383267196
"934","a","RS","60","Wide","Correct","e=0.09 (XL)",0.329759732600621
"937","a","ILV","60","Wide","Correct","e=0.09 (XL)",0.293865478460663
"940","a","SEM","60","Wide","Correct","e=0.09 (XL)",0.293316778013384
"943","a","SS","60","Wide","Correct","e=0.09 (XL)",0.689760714431019
"946","a","BS","60","Wide","Simple","e=0.09 (XL)",0.435029382082808
"949","a","RS","60","Wide","Simple","e=0.09 (XL)",0.525478815029067
"952","a","ILV","60","Wide","Simple","e=0.09 (XL)",0.474504665482654
"955","a","SEM","60","Wide","Simple","e=0.09 (XL)",0.480368436124638
"958","a","SS","60","Wide","Simple","e=0.09 (XL)",0.414437527901423
"961","a","BS","100","Wide","Correct","e=0.09 (XL)",0.262007694426077
"964","a","RS","100","Wide","Correct","e=0.09 (XL)",0.341210707255216
"967","a","ILV","100","Wide","Correct","e=0.09 (XL)",0.301383928535871
"970","a","SEM","100","Wide","Correct","e=0.09 (XL)",0.301832295639992
"973","a","SS","100","Wide","Correct","e=0.09 (XL)",0.695391903192748
"976","a","BS","100","Wide","Simple","e=0.09 (XL)",0.443803481971146
"979","a","RS","100","Wide","Simple","e=0.09 (XL)",0.541213890361518
"982","a","ILV","100","Wide","Simple","e=0.09 (XL)",0.488010455147036
"985","a","SEM","100","Wide","Simple","e=0.09 (XL)",0.492506578817356
"988","a","SS","100","Wide","Simple","e=0.09 (XL)",0.421996003537264
"991","a","BS","200","Wide","Correct","e=0.09 (XL)",0.256208690994199
"994","a","RS","200","Wide","Correct","e=0.09 (XL)",0.337110100469106
"997","a","ILV","200","Wide","Correct","e=0.09 (XL)",0.296835793383281
"1000","a","SEM","200","Wide","Correct","e=0.09 (XL)",0.296799666801739
"1003","a","SS","200","Wide","Correct","e=0.09 (XL)",0.692849195662919
"1006","a","BS","200","Wide","Simple","e=0.09 (XL)",0.439206355994727
"1009","a","RS","200","Wide","Simple","e=0.09 (XL)",0.540491304699222
"1012","a","ILV","200","Wide","Simple","e=0.09 (XL)",0.487042097547814
"1015","a","SEM","200","Wide","Simple","e=0.09 (XL)",0.489639577265494
"1018","a","SS","200","Wide","Simple","e=0.09 (XL)",0.417636131212238
"1021","a","BS","300","Wide","Correct","e=0.09 (XL)",0.260268075014128
"1024","a","RS","300","Wide","Correct","e=0.09 (XL)",0.342662319606218
"1027","a","ILV","300","Wide","Correct","e=0.09 (XL)",0.301135648123113
"1030","a","SEM","300","Wide","Correct","e=0.09 (XL)",0.301625877116496
"1033","a","SS","300","Wide","Correct","e=0.09 (XL)",0.693629398931303
"1036","a","BS","300","Wide","Simple","e=0.09 (XL)",0.441437517170051
"1039","a","RS","300","Wide","Simple","e=0.09 (XL)",0.544066595693289
"1042","a","ILV","300","Wide","Simple","e=0.09 (XL)",0.490732426844615
"1045","a","SEM","300","Wide","Simple","e=0.09 (XL)",0.492516530315999
"1048","a","SS","300","Wide","Simple","e=0.09 (XL)",0.419755167513341
"1051","a","BS","400","Wide","Correct","e=0.09 (XL)",0.259060003367106
"1054","a","RS","400","Wide","Correct","e=0.09 (XL)",0.341132754613019
"1057","a","ILV","400","Wide","Correct","e=0.09 (XL)",0.300271819934718
"1060","a","SEM","400","Wide","Correct","e=0.09 (XL)",0.300236000884008
"1063","a","SS","400","Wide","Correct","e=0.09 (XL)",0.692715888666622
"1066","a","BS","400","Wide","Simple","e=0.09 (XL)",0.43913907805711
"1069","a","RS","400","Wide","Simple","e=0.09 (XL)",0.542173516743383
"1072","a","ILV","400","Wide","Simple","e=0.09 (XL)",0.489287633484241
"1075","a","SEM","400","Wide","Simple","e=0.09 (XL)",0.490368636053023
"1078","a","SS","400","Wide","Simple","e=0.09 (XL)",0.417918076154729
"1081","a","BS","30","Wide","Correct","e=0.03 (XL)",0.262390022911254
"1084","a","RS","30","Wide","Correct","e=0.03 (XL)",0.313479019853618
"1087","a","ILV","30","Wide","Correct","e=0.03 (XL)",0.296902813126009
"1090","a","SEM","30","Wide","Correct","e=0.03 (XL)",0.290583679042964
"1093","a","SS","30","Wide","Correct","e=0.03 (XL)",0.659833642272265
"1096","a","BS","30","Wide","Simple","e=0.03 (XL)",0.310227343494061
"1099","a","RS","30","Wide","Simple","e=0.03 (XL)",0.366522803398039
"1102","a","ILV","30","Wide","Simple","e=0.03 (XL)",0.345060605947149
"1105","a","SEM","30","Wide","Simple","e=0.03 (XL)",0.34069509094323
"1108","a","SS","30","Wide","Simple","e=0.03 (XL)",0.316203490611843
"1111","a","BS","60","Wide","Correct","e=0.03 (XL)",0.264151790055828
"1114","a","RS","60","Wide","Correct","e=0.03 (XL)",0.326384842504021
"1117","a","ILV","60","Wide","Correct","e=0.03 (XL)",0.292691906427963
"1120","a","SEM","60","Wide","Correct","e=0.03 (XL)",0.295784069993533
"1123","a","SS","60","Wide","Correct","e=0.03 (XL)",0.654909560344638
"1126","a","BS","60","Wide","Simple","e=0.03 (XL)",0.315638706082386
"1129","a","RS","60","Wide","Simple","e=0.03 (XL)",0.381196681715914
"1132","a","ILV","60","Wide","Simple","e=0.03 (XL)",0.344948261457837
"1135","a","SEM","60","Wide","Simple","e=0.03 (XL)",0.348541290233752
"1138","a","SS","60","Wide","Simple","e=0.03 (XL)",0.308611172062206
"1141","a","BS","100","Wide","Correct","e=0.03 (XL)",0.267437939999269
"1144","a","RS","100","Wide","Correct","e=0.03 (XL)",0.332682164814191
"1147","a","ILV","100","Wide","Correct","e=0.03 (XL)",0.299113853071899
"1150","a","SEM","100","Wide","Correct","e=0.03 (XL)",0.300295322861733
"1153","a","SS","100","Wide","Correct","e=0.03 (XL)",0.654026514686825
"1156","a","BS","100","Wide","Simple","e=0.03 (XL)",0.317777443285896
"1159","a","RS","100","Wide","Simple","e=0.03 (XL)",0.38528340373471
"1162","a","ILV","100","Wide","Simple","e=0.03 (XL)",0.34935049092553
"1165","a","SEM","100","Wide","Simple","e=0.03 (XL)",0.351623669891756
